Etichette di riga;Media di count turtles;Dev. standard di count turtles2;Media di round storage;Dev. standard di round storage;Media di sum [max-psugar] of patches;Dev. standard di sum [max-psugar] of patches2
436;375,47;16,23467731;0;0;4622;0
437;375,59;16,48696761;0;0;4622;0
438;375,21;16,06759396;0;0;4622;0
439;375,48;15,85189024;0;0;4622;0
440;376,16;16,004873;0;0;4622;0
441;376,07;16,57078785;0;0;4622;0
442;375,87;16,12241993;0;0;4622;0
443;376,05;16,25763224;0;0;4622;0
444;376,58;16,48824497;0;0;4622;0
445;376,36;16,26641828;0;0;4622;0
446;376,79;16,03864966;0;0;4622;0
447;376,67;16,13707382;0;0;4622;0
448;376,81;15,90927244;0;0;4622;0
449;376,61;15,42783461;0;0;4622;0
450;376,83;16,4009454;0;0;4622;0
451;376,54;16,53671764;0;0;4622;0
452;376,33;17,12170045;0;0;4622;0
453;375,8;16,94256489;0;0;4622;0
454;375,84;17,28473373;0;0;4622;0
455;376,26;18,08097387;0;0;4622;0
456;376,79;17,85366725;0;0;4622;0
457;376,73;17,17988899;0;0;4622;0
458;376,16;17,55034317;0;0;4622;0
459;376,62;17,76830682;0;0;4622;0
460;376,76;17,39738747;0;0;4622;0
461;376,73;17,86077187;0;0;4622;0
462;377,08;17,46088269;0;0;4622;0
463;376,77;17,54984532;0;0;4622;0
464;376,33;17,51250924;0;0;4622;0
465;376,63;16,94772414;0;0;4622;0
466;376,8;17,75478311;0;0;4622;0
467;376,89;17,86814501;0;0;4622;0
468;376,61;18,26012657;0;0;4622;0
469;375,85;17,88932022;0;0;4622;0
470;376,34;18,06454198;0;0;4622;0
471;376,33;17,49115505;0;0;4622;0
472;376,71;17,58172548;0;0;4622;0
473;376,59;16,87392047;0;0;4622;0
474;376,92;17,0795406;0;0;4622;0
475;377,39;16,71803901;0;0;4622;0
476;377,38;17,37162437;0;0;4622;0
477;378,06;17,27485473;0;0;4622;0
478;378,4;17,75023118;0;0;4622;0
479;378,75;17,68887969;0;0;4622;0
480;379,21;17,04734643;0;0;4622;0
481;379,16;17,13506653;0;0;4622;0
482;378,55;16,66204481;0;0;4622;0
483;378,02;16,72292324;0;0;4622;0
484;377,72;17,63380592;0;0;4622;0
485;377,5;17,26355418;0;0;4622;0
486;377,66;17,4032506;0;0;4622;0
487;378,13;17,23143416;0;0;4622;0
488;377,68;16,77472847;0;0;4622;0
489;377,6;17,2316364;0;0;4622;0
490;377,63;17,7619813;0;0;4622;0
491;378,33;17,85409723;0;0;4622;0
492;378,61;18,33189802;0;0;4622;0
493;378,29;17,82988922;0;0;4622;0
494;378,26;17,69587066;0;0;4622;0
495;378,5;18,33774052;0;0;4622;0
496;378,41;18,20483619;0;0;4622;0
497;378,44;17,76122209;0;0;4622;0
498;378,87;17,96666667;0;0;4622;0
499;379,01;17,89446898;0;0;4622;0
500;379,09;18,19262532;0;0;4622;0
(vuoto);;;;;;
Totale complessivo;294,7340719;100,7219055;0;0;4622;0
